"ExperimentID","Category","Status","DatasetOrInput","Result","ArchivePath","CodeSnapshot"
"R20260826-01","raw_capture","preserve","four complete captures; approach has 389 true CSV pairs","common source for formal replay","raw_captures\R20260826-01_far_to_near_domain_capture","D:\my_works\walker_pose_system\research_records\code_snapshots\S20260827_212156_pre_archive"
"E20260827-B0","official_baseline","completed","R20260826-01 approach, 389 pairs","15.336760925449871 valid 3D points/pair; 3.2157169299188793 FPS","official_runs\E20260827-B0_replay_baseline","D:\my_works\walker_pose_system\research_records\code_snapshots\S20260827_212156_pre_archive"
"E20260827-L1","official_ablation","completed_negative_pareto","R20260826-01 approach, 389 pairs","strict local perspective: 15.393316195372751 valid 3D points/pair; 0.9198776428698835 FPS; 17 selections","official_runs\E20260827-L1_local_perspective_strict","D:\my_works\walker_pose_system\research_records\code_snapshots\S20260827_212156_pre_archive"
"E20260827-U1","official_ablation","completed_negative","R20260826-01 approach, 389 pairs","model-input undistort: 9.100257069408741 valid 3D points/pair; 4.319134709819764 FPS","official_runs\E20260827-U1_model_input_undistort","D:\my_works\walker_pose_system\research_records\code_snapshots\S20260827_212156_pre_archive"
"E20260826-M0","screening","preserve_screening","approach 60 pairs, correct orientation","five-model internal geometry screen only; not an accuracy comparison","screening\E20260826-M0_five_model_60_pair_screen",""
"E20260825-S1","screening","preserve_screening","60-pair keypoint-score sweep","thresholds 0.10, 0.15, 0.20, 0.25","screening\E20260825-S1_keypoint_score_threshold_sweep",""
"T20260823-26","engineering_validation","preserve_engineering","rotation correction, static reconstruction, camera probe","technical milestones, not paper performance results","engineering_validation",""
"F20260901-S2T1","engineering_validation","frozen","near 180-pair Sapiens2 lower-limb/foot candidate sequence","LK is diagnostic only; short-window smoothing is display-only; no contact/gait-event claim","engineering_validation\\F20260901_sapiens2_near_temporal_usability_freeze_r1","realtime_app\\tools\\evaluate_sapiens2_temporal_optical_flow.py; realtime_app\\tools\\evaluate_short_window_sapiens2_filter.py; realtime_app\\tools\\analyze_sapiens2_lower_limb_kinematics.py"
"P20260901-FI1","engineering_validation","completed","near 180-pair upright full-image prompt; no YOLO run or detection input","PMPose relative agreement 29.60 px at 2.80 FPS; ProbPose 43.50 px at 6.73 FPS; Sapiens2 engineering reference only","engineering_validation\\P20260901_near_full_image_topdown_no_yolo_r1","realtime_app\\tools\\build_full_image_prompt_cache.py; realtime_app\\tools\\benchmark_probpose_full_image.py; realtime_app\\tools\\canonicalize_full_image_topdown_predictions.py; realtime_app\\tools\\summarize_full_image_topdown_experiment.py"
"V20260901-D1C3","engineering_validation","completed_negative","60 paired saved C3/D1 PMPose predictions; original fisheye calibration; max_matches=1","D1 lower-body valid points 286 versus C3 291; common-computable median reprojection 3.746 versus 3.108 px; reject D1 as C3 replacement candidate","engineering_validation\\V20260901_DA3_raw_fisheye_safe_roi_C3_control","realtime_app\\tools\\validate_saved_prediction_coordinate_regression.py; realtime_app\\tools\\evaluate_offline_stereo_predictions.py; realtime_app\\tools\\summarize_paired_stereo_replay.py; realtime_app\\tools\\render_c3_d1_divergence_review.py"
"V20260902-BG1","engineering_validation","setup_complete","shared raw-bounds geometry guard; C3 PMPose blind 2-D audit; independent R20260829 target-identity template","no new model run or accuracy claim; PMPose, ProbPose and Sapiens2 will share frozen inputs and identity constraints","engineering_validation\\V20260902_baseline_geometry_guard_and_independent_freeze","realtime_app\\pose_app\\geometry_input.py; realtime_app\\tools\\build_stereo_lower_body_2d_audit.py; realtime_app\\tools\\build_target_identity_validation_template.py"
"V20260902-TC1","engineering_validation","completed","saved PMPose, ProbPose and Sapiens2 predictions replayed on near 180-pair sequence","full hip-knee-ankle continuity not established; only Sapiens2 shanks have substantial observed continuity; length changes are gate-conditioned diagnostics, not accuracy","engineering_validation\\V20260902_baseline_triangulation_continuity_bone_segments","realtime_app\\tools\\experiment_single_person_jointwise_geometry.py; realtime_app\\tools\\analyze_jointwise_triangulation_continuity.py"
